"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-10-21,60,"Swiss Indoors","1st Round","Hard","Indoor","Goffin D.","Arnaldi M.",2.2,1.67,1.77,98.23,"Arnaldi M.",FALSE,"Arnaldi M.",FALSE,FALSE,60
2024-10-21,60,"Swiss Indoors","1st Round","Hard","Indoor","Fils A.","Altmaier D.",1.29,3.75,99.89,0.11,"Fils A.",TRUE,"Fils A.",TRUE,FALSE,60
2024-10-21,60,"Swiss Indoors","1st Round","Hard","Indoor","Mpetshi G.","Duckworth J.",1.91,1.91,99.94,0.06,"Mpetshi G.",TRUE,NA,FALSE,FALSE,60
2024-10-21,60,"Swiss Indoors","1st Round","Hard","Indoor","Rublev A.","Borges N.",1.17,5,100,0,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,60
2024-10-22,60,"Swiss Indoors","1st Round","Hard","Indoor","Shapovalov D.","Shang J.",2,1.8,98.94,1.06,"Shapovalov D.",TRUE,"Shang J.",FALSE,FALSE,60
2024-10-22,60,"Swiss Indoors","1st Round","Hard","Indoor","Van De Zandschulp B.","Bublik A.",1.67,2.2,18.5,81.5,"Bublik A.",FALSE,"Van De Zandschulp B.",TRUE,TRUE,60
2024-10-22,60,"Swiss Indoors","1st Round","Hard","Indoor","Shelton B.","Etcheverry T.",1.36,3.2,88.09,11.91,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,60
2024-10-22,60,"Swiss Indoors","1st Round","Hard","Indoor","Rune H.","Jarry N.",1.3,3.5,72.43,27.57,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,60
2024-10-22,60,"Swiss Indoors","1st Round","Hard","Indoor","Tsitsipas S.","Cerundolo F.",1.4,3,99.21,0.79,"Tsitsipas S.",TRUE,"Tsitsipas S.",TRUE,FALSE,60
2024-10-23,60,"Swiss Indoors","1st Round","Hard","Indoor","Auger-Aliassime F.","Baez S.",1.1,7,64.57,35.43,"Auger-Aliassime F.",TRUE,"Auger-Aliassime F.",TRUE,FALSE,60
2024-10-23,60,"Swiss Indoors","1st Round","Hard","Indoor","Martinez P.","Lehecka J.",5,1.17,0,100,"Lehecka J.",FALSE,"Lehecka J.",FALSE,FALSE,60
2024-10-23,60,"Swiss Indoors","1st Round","Hard","Indoor","Bautista Agut R.","Ruud C.",2.75,1.44,3.09,96.91,"Ruud C.",FALSE,"Ruud C.",FALSE,FALSE,60
2024-10-21,61,"Vienna Open","1st Round","Hard","Indoor","Cobolli F.","Davidovich Fokina A.",2.1,1.73,3.35,96.65,"Davidovich Fokina A.",FALSE,"Davidovich Fokina A.",FALSE,FALSE,61
2024-10-21,61,"Vienna Open","1st Round","Hard","Indoor","Berrettini M.","Fucsovics M.",1.33,3.4,87.29,12.71,"Berrettini M.",TRUE,"Berrettini M.",TRUE,FALSE,61
2024-10-21,61,"Vienna Open","1st Round","Hard","Indoor","Mensik J.","Popyrin A.",1.67,2.2,68.71,31.29,"Mensik J.",TRUE,"Mensik J.",TRUE,FALSE,61
2024-10-22,61,"Vienna Open","1st Round","Hard","Indoor","Kecmanovic M.","Navone M.",1.29,3.75,43.37,56.63,"Navone M.",FALSE,"Kecmanovic M.",TRUE,TRUE,61
2024-10-22,61,"Vienna Open","1st Round","Hard","Indoor","De Minaur A.","Struff J.L.",1.36,3.2,97.2,2.8,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,61
2024-10-22,61,"Vienna Open","1st Round","Hard","Indoor","Giron M.","Michelsen A.",2,1.8,45.44,54.56,"Michelsen A.",FALSE,"Michelsen A.",FALSE,FALSE,61
2024-10-22,61,"Vienna Open","1st Round","Hard","Indoor","Tiafoe F.","Norrie C.",1.41,2.75,68.82,31.18,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,61
2024-10-22,61,"Vienna Open","1st Round","Hard","Indoor","Monfils G.","Halys Q.",1.62,2.3,94.91,5.09,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,61
2024-10-22,61,"Vienna Open","1st Round","Hard","Indoor","Musetti L.","Sonego L.",1.57,2.38,79.6,20.4,"Musetti L.",TRUE,"Musetti L.",TRUE,FALSE,61
2024-10-23,61,"Vienna Open","1st Round","Hard","Indoor","Dimitrov G.","Zhang Zh.",1.2,4.5,100,0,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,61
2024-10-23,61,"Vienna Open","1st Round","Hard","Indoor","Machac T.","Marozsan F.",1.3,3.5,7.61,92.39,"Marozsan F.",FALSE,"Machac T.",TRUE,TRUE,61
2024-10-23,61,"Vienna Open","1st Round","Hard","Indoor","Khachanov K.","Seyboth Wild T.",1.53,2.5,99.97,0.03,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,61
2024-10-23,61,"Vienna Open","1st Round","Hard","Indoor","Nakashima B.","Paul T.",3.2,1.36,0.07,99.93,"Paul T.",FALSE,"Paul T.",FALSE,FALSE,61
