player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Karatsev A.,2.645084147400155,0.21747862702121118,63,0.35,3
Cobolli F.,3.507393089869459,0.26265147228596725,63,0.35,3
Van De Zandschulp B.,2.6938082998228507,0.19427190713402379,63,0.35,3
Cilic M.,1.6306682893341922,0.4624067364562112,63,0.35,3
Davidovich Fokina A.,3.2069670919578797,0.20258557818962641,63,0.35,3
Paul T.,3.55362037708178,0.19553988652254323,63,0.35,3
Millman J.,2.4316368393620453,0.7488902670911027,63,0.35,3
Haase R.,2.725497096173584,0.8799797600597636,63,0.35,3
Huesler M.A.,0.8744750478115962,0.31108745322049075,63,0.35,3
Kwon S.W.,2.4521325120414144,0.3503974436088243,63,0.35,3
Ymer M.,2.0094732700570272,0.2872841173102312,63,0.35,3
Kubler J.,2.024278437344988,0.2911491607134886,63,0.35,3
Lestienne C.,0.7648954261576532,0.29517525822622964,63,0.35,3
Goffin D.,2.463685543955463,0.2396828404949666,63,0.35,3
Brooksby J.,3.7940652117344,0.5056388914687275,63,0.35,3
Gasquet R.,1.4636446424979204,0.24973029871215424,63,0.35,3
Wolf J.J.,2.283004884914617,0.20895535199422804,63,0.35,3
Barrere G.,2.4769583478115473,0.2208245712080103,63,0.35,3
Eubanks C.,2.2058784959663167,0.2161470694779222,63,0.35,3
Lehecka J.,3.0784724113407886,0.20475522418027994,63,0.35,3
Shelton B.,3.1467647691821723,0.21225242302094757,63,0.35,3
Norrie C.,3.0805768460380314,0.20989422703640498,63,0.35,3
Moutet C.,1.5896573027693182,0.24609826174558389,63,0.35,3
Watanuki Y.,2.3381915399748525,0.34910576747757105,63,0.35,3
Etcheverry T.,3.1373617232685485,0.19807644337698194,63,0.35,3
Cerundolo F.,3.2901449216582295,0.19802355443652633,63,0.35,3
Shang J.,2.5348528797809444,0.2712347580752735,63,0.35,3
Hurkacz H.,4.028731278110418,0.22048287169208644,63,0.35,3
Tiafoe F.,3.352533489656146,0.2039739684815376,63,0.35,3
Nadal R.,3.853415102304719,0.5307447433597434,63,0.35,3
Daniel T.,1.6879503512507308,0.22860235632828824,63,0.35,3
Sonego L.,2.619053806169444,0.19200059331596578,63,0.35,3
Svrcina D.,1.7531093589851872,0.6373436033488558,63,0.35,3
Fucsovics M.,2.789542907926345,0.2186808339764726,63,0.35,3
Molcan A.,2.0939937391890244,0.2782518280839667,63,0.35,3
Hijikata R.,2.390084910183696,0.22766419633641935,63,0.35,3
