Date,ATP,Tournament,Round,Surface,Court,Winner,Loser,margin,B365W,B365L,mu_winner,mu_loser,sigma_winner,sigma_loser,TTT_Prob_W,TTT_Prob_L,TTT_Pct_W,TTT_Pct_L,pred,ttt_correct,bookie_pred,bookie_correct,bet365_right_ttt_wrong,ATPk
2024-08-13,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Nishioka Y.,Kecmanovic M.,2,1.8,2,0.01975869048529673,0.11132277474714923,0.23976968321687722,0.2307592031394409,0.4748735871259747,0.5251264128740253,47.49,52.51,Kecmanovic M.,FALSE,Nishioka Y.,TRUE,TRUE,49
2024-08-14,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Borges N.,Mannarino A.,1,1.33,3.4,-0.27852035160742883,0.40753312529443914,0.27657776649233773,0.2324782104040849,0.31917166145784376,0.6808283385421563,31.92,68.08,Mannarino A.,FALSE,Borges N.,TRUE,TRUE,49
2024-08-18,50,Winston-Salem Open at Wake Forest University,1st Round,Hard,Outdoor,Cazaux A.,Van De Zandschulp B.,2,1.8,2,-0.04681415292414183,0.19853455839031023,0.6116400544203171,0.24150970888146572,0.43749923777966093,0.5625007622203391,43.75,56.25,Van De Zandschulp B.,FALSE,Cazaux A.,TRUE,TRUE,50
2024-08-19,50,Winston-Salem Open at Wake Forest University,1st Round,Hard,Outdoor,Goffin D.,Munar J.,1,1.73,2.1,-0.5222184174957324,0.06276445597444348,0.5152846026971575,0.28634365093791225,0.3513037449166567,0.6486962550833433,35.13,64.87,Munar J.,FALSE,Goffin D.,TRUE,TRUE,50
2024-08-26,51,US Open,1st Round,Hard,Outdoor,Shang J.,Bublik A.,1,1.67,2.2,0,0.3046703855419054,4,0.25801338644082983,0.4714286555135466,0.5285713444864534,47.14,52.86,Bublik A.,FALSE,Shang J.,TRUE,TRUE,51
2024-08-26,51,US Open,1st Round,Hard,Outdoor,Baez S.,Darderi L.,2,1.73,2.1,0.12342598405280834,0.7029266433952258,0.2429976974001763,0.5278389768510816,0.35233619466838084,0.6476638053316192,35.23,64.77,Darderi L.,FALSE,Baez S.,TRUE,TRUE,51
2024-08-27,51,US Open,1st Round,Hard,Outdoor,Bergs Z.,Kotov P.,1,1.8,2,-0.4806027875842346,0.2682718214964237,1.0214179993539638,0.37923372106391,0.3374329949021414,0.6625670050978586,33.74,66.26,Kotov P.,FALSE,Bergs Z.,TRUE,TRUE,51
2024-09-19,52,Chengdu Open,1st Round,Hard,Outdoor,O Connell C.,Kotov P.,2,1.67,2.2,0.05298057195419678,0.20285580886213248,0.24804333427667646,0.37222684078627516,0.4597577399261373,0.5402422600738628,45.98,54.02,Kotov P.,FALSE,O Connell C.,TRUE,TRUE,52
2024-09-19,53,Hangzhou Open,1st Round,Hard,Outdoor,Hijikata R.,Dzumhur D.,1,1.73,2.1,-0.09768972309543708,0,0.34033307057502865,4,0.49084429612586483,0.5091557038741352,49.08,50.92,Dzumhur D.,FALSE,Hijikata R.,TRUE,TRUE,53
2024-09-26,55,Japan Open Tennis Championships,1st Round,Hard,Outdoor,O Connell C.,Etcheverry T.,2,1.73,2.1,0.0891949298136614,0.45847303847373083,0.2460894924040811,0.22847644242285808,0.3997264035620418,0.6002735964379582,39.97,60.03,Etcheverry T.,FALSE,O Connell C.,TRUE,TRUE,55
2024-10-04,56,Shanghai Masters,1st Round,Hard,Outdoor,Michelsen A.,Bu Y.,2,1.57,2.38,0.025521151154398736,0.9650160926589398,0.41126690082820566,1.7851057270868351,0.342385535015954,0.6576144649840461,34.24,65.76,Bu Y.,FALSE,Michelsen A.,TRUE,TRUE,56
2024-10-15,59,Nordic Open,1st Round,Hard,Indoor,Kecmanovic M.,Norrie C.,2,1.8,2,0.10561612226615322,0.2566182104222966,0.2258886017579825,0.2604926863104552,0.45868942284197206,0.541310577158028,45.87,54.13,Norrie C.,FALSE,Kecmanovic M.,TRUE,TRUE,59
2024-11-04,63,Belgrade Open,1st Round,Hard,Indoor,Altmaier D.,Darderi L.,2,1.8,2,-0.154393649894304,0.1402675275069567,0.24897241839713474,0.40924252795138455,0.42177944185086824,0.5782205581491318,42.18,57.82,Darderi L.,FALSE,Altmaier D.,TRUE,TRUE,63
2024-11-04,63,Belgrade Open,1st Round,Hard,Indoor,Shapovalov D.,Fucsovics M.,1,1.57,2.38,0.234016301170827,0.3112554337535608,0.35791021302591236,0.24707747973678565,0.47918325752455726,0.5208167424754427,47.92,52.08,Fucsovics M.,FALSE,Shapovalov D.,TRUE,TRUE,63
