"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Cobolli F.","Hijikata R.",2.1,1.73,51.46,48.54,"Cobolli F.",TRUE,"Hijikata R.",FALSE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Norrie C.","Diaz Acosta F.",1.04,13,96.98,3.02,"Norrie C.",TRUE,"Norrie C.",TRUE,FALSE,39
2024-07-02,39,"Wimbledon","1st Round","Grass","Outdoor","Fritz T.","O Connell C.",1.05,11,99.67,0.33,"Fritz T.",TRUE,"Fritz T.",TRUE,FALSE,39
2024-07-03,39,"Wimbledon","1st Round","Grass","Outdoor","Khachanov K.","Karatsev A.",1.17,5,96.8,3.2,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,39
2024-07-03,39,"Wimbledon","1st Round","Grass","Outdoor","Safiullin R.","Cerundolo F.",1.73,2.1,19.27,80.73,"Cerundolo F.",FALSE,"Safiullin R.",TRUE,TRUE,39
2024-07-03,39,"Wimbledon","1st Round","Grass","Outdoor","Ruusuvuori E.","Mcdonald M.",1.67,2.2,55.65,44.35,"Ruusuvuori E.",TRUE,"Ruusuvuori E.",TRUE,FALSE,39
2024-07-03,39,"Wimbledon","1st Round","Grass","Outdoor","Machac T.","Goffin D.",1.62,2.3,68.84,31.16,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,39
2024-07-03,39,"Wimbledon","1st Round","Grass","Outdoor","Tabilo A.","Evans D.",1.44,2.75,30.43,69.57,"Evans D.",FALSE,"Tabilo A.",TRUE,TRUE,39
2024-07-03,39,"Wimbledon","1st Round","Grass","Outdoor","Kokkinakis T.","Auger-Aliassime F.",3.2,1.36,54.82,45.18,"Kokkinakis T.",TRUE,"Auger-Aliassime F.",FALSE,FALSE,39
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Zverev A.","Marterer M.",1.03,17,99.64,0.36,"Zverev A.",TRUE,"Zverev A.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Bautista Agut R.","Nardi L.",1.22,4.33,99.4,0.6,"Bautista Agut R.",TRUE,"Bautista Agut R.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Humbert U.","Monteiro T.",1.13,6,99.89,0.11,"Humbert U.",TRUE,"Humbert U.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Shang J.","Bublik A.",1.67,2.2,9.08,90.92,"Bublik A.",FALSE,"Shang J.",TRUE,TRUE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Rublev A.","Seyboth Wild T.",1.08,8,99.9,0.1,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Fritz T.","Ugo Carabelli C.",1.01,29,95.51,4.49,"Fritz T.",TRUE,"Fritz T.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Lehecka J.","Fucsovics M.",1.5,2.63,74.61,25.39,"Lehecka J.",TRUE,"Lehecka J.",TRUE,FALSE,51
