player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Kwiatkowski T.S.,-3.082127096979249,2.3858069598281713,20,0.35,3
Kuznetsov An.,-3.00702947407123,2.347698569552066,20,0.35,3
Kirchheimer S.,-2.795053394774012,2.415728042823058,20,0.35,3
Tien L.,-2.398488926315783,2.4951462345997895,20,0.35,3
Mu T.,-3.091119554706114,2.309120715573673,20,0.35,3
Cui J.,-3.0480517464406733,2.321957501665071,20,0.35,3
Lock B.,-2.639145279014525,2.4605872640361883,20,0.35,3
Li Zh.,-3.019168538312136,2.406297564487774,20,0.35,3
Saville L.,-2.184618386365751,2.670135429288221,20,0.35,3
Zhou Y.,-2.69135382252719,2.344258222904821,20,0.35,3
Mo Y.,-2.4346809286385365,2.563428559356405,20,0.35,3
Bu Y.,2.214100359321473,1.04317077692477,20,0.35,3
Te R.,-2.7291331609872103,2.4480442681007086,20,0.35,3
Yevseyev D.,-2.3439532927906246,2.5782422425833507,20,0.35,3
Blockx A.,-2.2358082038035465,2.673521043850477,20,0.35,3
Friberg K.,-2.581670309875573,2.4953224587670575,20,0.35,3
Hassan B.,-2.621235533077678,2.351314041512695,20,0.35,3
Bourgue M.,-2.4721731066978236,2.569657786556275,20,0.35,3
Hemery C.,-3.5621251724319016,2.2003925420876302,20,0.35,3
Martineau M.,-2.67856873603974,2.4648536159736922,20,0.35,3
Wong C.,-2.2137280712036507,2.659459239321144,20,0.35,3
Walton A.,-2.591694873036914,2.3519365383779096,20,0.35,3
Mccabe J.,-2.5774192859977343,2.3592488358671693,20,0.35,3
Kopriva V.,-2.3198749195733424,2.4941250339113705,20,0.35,3
Jasika O.,-1.8799275038676846,2.745095331361688,20,0.35,3
Escoffier A.,-2.748258732959236,2.4833895344040227,20,0.35,3
Blanchet U.,-2.4798747944737136,2.547853899919568,20,0.35,3
Gomez F.,-2.448879658629559,2.5290354950120753,20,0.35,3
Comesana F.,-3.2592716165217994,2.1273945526952525,20,0.35,3
Sandgren T.,-2.206887342450121,2.646447574012151,20,0.35,3
Neff A.,-2.525791707099208,2.48494359081735,20,0.35,3
Heide G.,-2.995239894009025,2.39557915800336,20,0.35,3
Hong S.,-1.9751306065151117,2.7396734895507926,20,0.35,3
Damm M.,0,4,20,0.35,3
Blanch D.,0,4,20,0.35,3
Giron M.,2.901872624000053,0.1850676986570717,21,0.35,3
Mcdonald M.,2.83266542384956,0.19232297199892,21,0.35,3
Kecmanovic M.,2.5775035739679777,0.19432499776080855,21,0.35,3
Nishioka Y.,2.5432860243112945,0.22274514087110925,21,0.35,3
Popyrin A.,3.132936425617363,0.2068129068989385,21,0.35,3
Halys Q.,3.0620110599278214,0.26333903361812316,21,0.35,3
Safiullin R.,3.134244287300713,0.20147040576091782,21,0.35,3
Draper J.,4.081232547096538,0.23070273197664826,21,0.35,3
Kokkinakis T.,3.1791390236543138,0.24382686118030944,21,0.35,3
Medvedev D.,5.221294248926668,0.17563571510111048,21,0.35,3
Khachanov K.,4.014534849500779,0.19048683433139327,21,0.35,3
Djokovic N.,6.055878789539581,0.23927777330636885,21,0.35,3
Sinner J.,5.765275026565012,0.19440653450376305,21,0.35,3
Shapovalov D.,3.242815617389903,0.24587067079649894,21,0.35,3
Bautista Agut R.,2.770511377454171,0.21982424686200608,21,0.35,3
Korda S.,3.651804572231432,0.1979596571727566,21,0.35,3
Bonzi B.,2.19138673325052,0.2541768906019228,21,0.35,3
Carballes Baena R.,2.207984495382735,0.20652768500152344,21,0.35,3
Mmoh M.,2.8654451461851163,0.2721503102326265,21,0.35,3
Griekspoor T.,3.3886845082959884,0.19732163866536087,21,0.35,3
Djere L.,2.93343022622325,0.1957919525945959,21,0.35,3
Cecchinato M.,1.9278614649249741,0.26289577081898213,21,0.35,3
Krajinovic F.,1.189678916851203,0.4198075545482969,21,0.35,3
Van Rijthoven T.,1.2362202585071003,0.7964920934891879,21,0.35,3
Marterer M.,2.040563143943532,0.32507890773892056,21,0.35,3
Martinez P.,2.229120251030309,0.324864678472145,21,0.35,3
Karatsev A.,2.930321435695643,0.2212348525536173,21,0.35,3
Cobolli F.,2.4765140997300312,0.2981814805998812,21,0.35,3
Van De Zandschulp B.,2.627825588046738,0.1987594051337785,21,0.35,3
